epoch,norm,train_loss,test_loss,test_accuracy,seed,lr,mm,wd
50,GN,0.1939760277147793,0.4353601883351803,0.8642,0,0.01,0.5,0.0
1,GN,2.409152114787675,2.051933763027191,0.2327,479,0.01,0.5,0.0
2,GN,1.94048537104331,1.830942808389664,0.318,479,0.01,0.5,0.0
3,GN,1.7897228862318542,2.161031200885773,0.2735,479,0.01,0.5,0.0
4,GN,1.6341538968903329,1.7349223494529724,0.3913,479,0.01,0.5,0.0
5,GN,1.5156215651870688,1.7375446832180024,0.4108,479,0.01,0.5,0.0
6,GN,1.4196810420516812,1.7534208512306213,0.4071,479,0.01,0.5,0.0
7,GN,1.3250150779628995,1.451301108598709,0.4964,479,0.01,0.5,0.0
8,GN,1.248894966319394,1.2746529984474182,0.5488,479,0.01,0.5,0.0
9,GN,1.164813598555982,1.2384371262788774,0.5781,479,0.01,0.5,0.0
10,GN,1.097349176321493,1.148416069149971,0.583,479,0.01,0.5,0.0
11,GN,1.0167940592826783,1.1010539799928665,0.6179,479,0.01,0.5,0.0
12,GN,0.9507214254735376,1.1814455699920654,0.6127,479,0.01,0.5,0.0
13,GN,0.8894096152556826,0.8438980811834336,0.7065,479,0.01,0.5,0.0
14,GN,0.8280748915489372,0.9115227019786836,0.6879,479,0.01,0.5,0.0
15,GN,0.7776351176259463,0.842441057562828,0.7134,479,0.01,0.5,0.0
16,GN,0.7238685655624361,0.9054991233348848,0.6861,479,0.01,0.5,0.0
17,GN,0.6920885957415451,0.8104894077777862,0.7183,479,0.01,0.5,0.0
18,GN,0.6473424713629896,0.6759910255670547,0.7694,479,0.01,0.5,0.0
19,GN,0.6190862206699294,0.7506079775094986,0.7516,479,0.01,0.5,0.0
20,GN,0.5734247588135702,0.648889056444168,0.78,479,0.01,0.5,0.0
21,GN,0.4393435043980703,0.5085212618112565,0.8284,479,0.01,0.5,0.0
22,GN,0.4177157978724946,0.5114745855331421,0.8293,479,0.01,0.5,0.0
23,GN,0.4055188851588217,0.5235139879584313,0.8242,479,0.01,0.5,0.0
24,GN,0.394856919260586,0.5343324425816536,0.8228,479,0.01,0.5,0.0
25,GN,0.3844765308491714,0.526572112441063,0.822,479,0.01,0.5,0.0
26,GN,0.3755933477369416,0.480955465734005,0.8365,479,0.01,0.5,0.0
27,GN,0.3665809335229951,0.5152203103899956,0.8309,479,0.01,0.5,0.0
28,GN,0.3576092099213539,0.5360454750061036,0.8199,479,0.01,0.5,0.0
29,GN,0.3501940118839673,0.4699649727344513,0.8391,479,0.01,0.5,0.0
30,GN,0.3417281626969042,0.4745111873745918,0.8391,479,0.01,0.5,0.0
31,GN,0.2833829927436836,0.4426661059260368,0.8544,479,0.01,0.5,0.0
32,GN,0.2720027728687467,0.4398651035130024,0.8549,479,0.01,0.5,0.0
33,GN,0.2669867719606975,0.4398345321416855,0.8575,479,0.01,0.5,0.0
34,GN,0.263255038072386,0.435851988196373,0.856,479,0.01,0.5,0.0
35,GN,0.2604111594998318,0.4413751040399074,0.8533,479,0.01,0.5,0.0
36,GN,0.2540873547496698,0.450620649755001,0.8544,479,0.01,0.5,0.0
37,GN,0.2514772867340871,0.4380121749639511,0.8566,479,0.01,0.5,0.0
38,GN,0.2460894227561438,0.4415895336866379,0.8571,479,0.01,0.5,0.0
39,GN,0.2427767888473732,0.458787322640419,0.8507,479,0.01,0.5,0.0
40,GN,0.2356967848851857,0.4569140085577964,0.8539,479,0.01,0.5,0.0
41,GN,0.2139070966588261,0.4322475829720497,0.8623,479,0.01,0.5,0.0
42,GN,0.2108611784818227,0.4326015840470791,0.8598,479,0.01,0.5,0.0
43,GN,0.2099119107550977,0.433087198883295,0.8591,479,0.01,0.5,0.0
44,GN,0.203530643163892,0.4299943487346172,0.8608,479,0.01,0.5,0.0
45,GN,0.2055536689584517,0.4414220568537712,0.8586,479,0.01,0.5,0.0
46,GN,0.2031781810057132,0.4246344955265522,0.8624,479,0.01,0.5,0.0
47,GN,0.1982479848139121,0.433045402765274,0.8606,479,0.01,0.5,0.0
48,GN,0.1985954156960063,0.4236254039406776,0.8637,479,0.01,0.5,0.0
49,GN,0.1970141565670138,0.4345675706863403,0.8631,479,0.01,0.5,0.0
50,GN,0.1936815561693342,0.4318034693598747,0.8621,479,0.01,0.5,0.0
1,GN,2.467058578720483,2.001328247785568,0.2318,128,0.01,0.5,0.0
2,GN,1.9564333977296835,1.8133304858207704,0.3199,128,0.01,0.5,0.0
3,GN,1.792877690261587,1.7596037673950196,0.3778,128,0.01,0.5,0.0
4,GN,1.6425611289870707,1.6698824751377106,0.386,128,0.01,0.5,0.0
5,GN,1.5254249304456784,1.4195350074768067,0.4844,128,0.01,0.5,0.0
6,GN,1.423237955478756,1.3791941392421725,0.4938,128,0.01,0.5,0.0
7,GN,1.3348714585804269,1.4708876967430116,0.481,128,0.01,0.5,0.0
8,GN,1.257206447289118,1.185564199090004,0.5625,128,0.01,0.5,0.0
9,GN,1.1796362174441442,1.1843105691671372,0.583,128,0.01,0.5,0.0
10,GN,1.11816705172629,1.1260007417201996,0.5838,128,0.01,0.5,0.0
11,GN,1.0475688130044571,1.1454417884349823,0.6005,128,0.01,0.5,0.0
12,GN,0.9860686918963556,1.0173992043733595,0.6414,128,0.01,0.5,0.0
13,GN,0.9348120229018618,1.0486683166027069,0.6197,128,0.01,0.5,0.0
14,GN,0.8804049345538439,0.950508962869644,0.6825,128,0.01,0.5,0.0
15,GN,0.8391207077771502,0.954814100265503,0.6662,128,0.01,0.5,0.0
16,GN,0.798854234425918,0.9897376680374146,0.6604,128,0.01,0.5,0.0
17,GN,0.7579375927710472,0.9243235743045808,0.6834,128,0.01,0.5,0.0
18,GN,0.7249906537173044,0.9027619898319243,0.7057,128,0.01,0.5,0.0
19,GN,0.6903804820364393,0.838961375951767,0.7166,128,0.01,0.5,0.0
20,GN,0.650222943948053,0.77324746966362,0.7389,128,0.01,0.5,0.0
21,GN,0.4963830325304699,0.5876066902279854,0.7973,128,0.01,0.5,0.0
22,GN,0.4705573052091671,0.5604009032249451,0.8068,128,0.01,0.5,0.0
23,GN,0.4565578003216277,0.5811567854881287,0.8001,128,0.01,0.5,0.0
24,GN,0.4414102832984437,0.5458084681630134,0.8109,128,0.01,0.5,0.0
25,GN,0.4278312758030489,0.5944014289975166,0.7939,128,0.01,0.5,0.0
26,GN,0.4197727883487101,0.5263477686047554,0.8206,128,0.01,0.5,0.0
27,GN,0.4097030471124308,0.5393597534298897,0.8108,128,0.01,0.5,0.0
28,GN,0.3948058510375449,0.5175857770442963,0.8276,128,0.01,0.5,0.0
29,GN,0.3887525094896936,0.5847530019283295,0.8006,128,0.01,0.5,0.0
30,GN,0.3792497906690973,0.5122995656728745,0.8267,128,0.01,0.5,0.0
31,GN,0.3169099249498314,0.4591314461827278,0.8471,128,0.01,0.5,0.0
32,GN,0.302096086275547,0.4873569601774216,0.8359,128,0.01,0.5,0.0
33,GN,0.2967760974870008,0.4701758237183094,0.8442,128,0.01,0.5,0.0
34,GN,0.2911148390654103,0.4658073127269745,0.8444,128,0.01,0.5,0.0
35,GN,0.2861835498296086,0.4694164246320724,0.8465,128,0.01,0.5,0.0
36,GN,0.2786568460028494,0.4761290699243545,0.8438,128,0.01,0.5,0.0
37,GN,0.2776914310386723,0.5197130912542343,0.8322,128,0.01,0.5,0.0
38,GN,0.2731927220740586,0.472086446583271,0.844,128,0.01,0.5,0.0
39,GN,0.2674151802497446,0.4564499738812446,0.8499,128,0.01,0.5,0.0
40,GN,0.2601397243873847,0.4715389189124107,0.8437,128,0.01,0.5,0.0
41,GN,0.2367904818500094,0.449639298915863,0.8529,128,0.01,0.5,0.0
42,GN,0.2343699337195252,0.4646364505589008,0.8485,128,0.01,0.5,0.0
43,GN,0.2290740562483782,0.4544759841263294,0.8528,128,0.01,0.5,0.0
44,GN,0.227305247064899,0.4574267211556435,0.8532,128,0.01,0.5,0.0
45,GN,0.2251279243003681,0.4578725865483284,0.8527,128,0.01,0.5,0.0
46,GN,0.2225140509245645,0.4649452799558639,0.8504,128,0.01,0.5,0.0
47,GN,0.222375325267882,0.452380858361721,0.8559,128,0.01,0.5,0.0
48,GN,0.2170717535573808,0.4512411575019359,0.8571,128,0.01,0.5,0.0
49,GN,0.2164467271712735,0.4474510458111763,0.8569,128,0.01,0.5,0.0
50,GN,0.2151061116391435,0.4574759732186794,0.8533,128,0.01,0.5,0.0
