round,norm,independence,balancement,test_loss,test_acc,train_acc,train_loss
18,BN,noniid,balanced,2.365264353804824,0.20441509101237662,0.40634540960341686,1.037285570303599
18,BN,noniid,unbalanced,2.1879428457935894,0.21845451611786182,0.4145325754519606,0.9968690669439408
18,GN,iid,balanced,1.5109300804037586,0.4891185390295359,0.6441680111885072,0.7619968143602213
18,GN,noniid,balanced,2.353235898893091,0.15922666139240502,0.3318354869981606,1.0595990653087695
18,GN,noniid,unbalanced,2.3465635876112345,0.16606671940928264,0.3325696466589319,1.066099635479243
19,BN,iid,balanced,1.4778933063160757,0.4965959981853724,0.7889473310152689,0.6635374325017134
19,BN,noniid,balanced,2.225060156611324,0.21712935789001375,0.34043933970530826,1.0774248960117498
19,BN,noniid,unbalanced,2.145245174247378,0.23355538637102644,0.4203579158352266,1.008220523810834
19,GN,iid,balanced,1.5050213975745415,0.4899887921940928,0.6442993424097697,0.7598416656255722
19,GN,noniid,balanced,2.213921084232974,0.18800105485232063,0.25123652914414796,1.1387314893802005
19,GN,noniid,unbalanced,2.260350801723416,0.1933115770042194,0.2770811345691632,1.101359821284058
20,BN,iid,balanced,1.4751407879137028,0.5005220266663851,0.7967241358121235,0.6506038013597331
20,BN,noniid,balanced,2.263057663251956,0.19718605620225002,0.41661435660819207,1.0437656214088202
20,BN,noniid,unbalanced,2.1281276083519427,0.226662585738115,0.4063223382907884,1.053954108965163
20,GN,iid,balanced,1.5075795127872678,0.4908128955696202,0.6594163052558898,0.7475295418997606
20,GN,noniid,balanced,2.3510289618737583,0.1703553533755274,0.3382444312473138,1.0849611656864484
20,GN,noniid,unbalanced,2.1931721728562303,0.20187895569620248,0.27644211989784023,1.1087507732813136
21,BN,iid,balanced,1.465439302591708,0.4999847112655413,0.7989450861612957,0.6508016389608384
21,BN,noniid,balanced,2.169161072192187,0.23329496970435973,0.3957008781929811,1.0169873622556527
21,BN,noniid,unbalanced,2.2362739398835316,0.19330617751026694,0.3773351761548854,1.0057165464274507
21,GN,iid,balanced,1.495242773078162,0.4939774525316456,0.6689055743535359,0.7376703077554702
21,GN,noniid,balanced,2.2110487514910315,0.18955036919831217,0.31084118951956424,1.0913718565801778
21,GN,noniid,unbalanced,2.233144473778045,0.21639636075949373,0.29976808993125853,1.0476641754604137
22,BN,iid,balanced,1.45703391363085,0.5002022745566804,0.8052235967953999,0.6454869490861893
22,BN,noniid,balanced,2.199149115007511,0.22352769649760876,0.38272988352626564,1.0203242367257672
22,BN,noniid,unbalanced,2.175271408349023,0.20924104037946525,0.41309517649557725,0.9934857792752841
22,GN,iid,balanced,1.4816649202556047,0.492728111814346,0.6847521526336671,0.7276206794381141
22,GN,noniid,balanced,2.1699581411317435,0.19988792194092828,0.263425825202465,1.0807240856687228
22,GN,noniid,unbalanced,2.1842788136961087,0.1913502109704641,0.2948170210873074,1.1031206177220712
23,BN,iid,balanced,1.4623912348851613,0.5009835245566805,0.8083191875457763,0.6506677971035242
23,BN,noniid,balanced,2.224447408590009,0.22604285999971843,0.36595860114643974,1.0655875323216122
23,BN,noniid,unbalanced,2.213850767634965,0.22614834523178592,0.462497687250756,0.9510310293238161
23,GN,iid,balanced,1.474841833114624,0.4980287447257384,0.6929617884635926,0.7231221335629622
23,GN,noniid,balanced,2.098959137216399,0.2144514767932489,0.25601180792301886,1.1272584880888463
23,GN,noniid,unbalanced,2.2119637034613375,0.2029305116033755,0.3368476265656253,1.05318316191015
24,BN,iid,balanced,1.4437979716363074,0.5080839992402247,0.6374663225809732,0.7836394035319487
24,BN,noniid,balanced,2.1344830295027304,0.22700211632883235,0.35973194915900625,1.0823014750083289
24,BN,noniid,unbalanced,2.1109274922366628,0.23123141485203913,0.3592525284985377,1.0611369984132006
24,GN,iid,balanced,1.4639133410614755,0.5054687499999999,0.5657547571500142,0.8096122089525064
24,GN,noniid,balanced,2.0886081381689148,0.205801687763713,0.26648302686860154,1.1367823242147763
24,GN,noniid,unbalanced,2.0971821139633406,0.2199894514767932,0.2903374023000909,1.1483090903123867
25,BN,iid,balanced,1.4415222515610946,0.5069302545144864,0.6432273681640625,0.7741212532420954
25,BN,noniid,balanced,2.3570011141253664,0.21637118278452852,0.3267672404557466,1.1395868405203027
25,BN,noniid,unbalanced,2.131161594775532,0.2128011669617437,0.36074672423371695,1.0887779681218994
25,GN,iid,balanced,1.459635617511685,0.5048556170886075,0.569262749004364,0.8019206099708875
25,GN,noniid,balanced,2.1161594572449536,0.20923325421940928,0.2713164505496621,1.1575146020452183
25,GN,noniid,unbalanced,2.078756071344207,0.2136702267932489,0.30662659316358604,1.1086565433762023
26,BN,iid,balanced,1.4256735998692636,0.5134538568351615,0.6290106389681498,0.7714653114477793
26,BN,noniid,balanced,2.119129794491368,0.2312248220250349,0.33968996807932844,1.1129491126537325
